gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
4,1,30,40,1,1,2,0.3
2,3,7,5,0,0,2,0.3
4,2,12,7,0,0,2,0.3
2,1,51,11,5,4,2,0.3
2,1,39,1,0,0,2,0.3
4,5,36,40,1,1,1,0.3
2,1,50,1,0,0,2,0.3
4,1,42,1,0,0,1,0.3
4,5,36,39,1,1,1,0.3
4,4,28,30,0,0,0,0.3
4,7,20,1,1,1,1,0.3
1,1,39,2,0,0,2,0.3
4,7,21,3,1,1,2,0.3
1,7,54,10,0,0,1,0.3
2,7,54,14,0,0,2,0.3
4,7,20,26,1,1,2,0.3
2,3,53,22,0,0,2,0.3
1,1,39,10,0,0,2,0.3
4,1,50,1,5,4,1,0.3
3,1,16,2,0,0,1,0.3
2,3,53,22,0,0,0,0.3
0,1,9,41,0,0,2,0.3
2,7,46,10,0,0,1,0.3
4,7,20,0,1,1,1,0.3
4,1,50,2,5,4,1,0.3
2,7,20,2,1,1,2,0.3
2,7,54,41,5,4,1,0.3
3,7,54,2,0,0,1,0.3
4,2,12,10,0,0,1,0.3
4,7,54,30,0,0,1,0.3
0,7,54,26,0,0,1,0.3
2,7,54,26,5,4,2,0.3
4,1,41,40,0,0,2,0.3
3,7,54,30,0,0,2,0.3
4,7,54,41,0,0,2,0.3
2,7,54,19,0,0,1,0.3
4,7,13,26,1,1,2,0.3
2,7,46,30,0,0,1,0.3
4,7,20,30,1,1,1,0.3
4,1,16,2,0,0,1,0.3
4,3,7,28,0,0,2,0.3
2,7,46,40,5,4,1,0.3
0,1,39,40,0,0,2,0.3
4,0,19,5,1,1,2,0.3
2,7,38,29,2,2,2,0.3
4,3,6,14,0,0,2,0.3
2,1,52,11,2,2,1,0.3
2,7,54,28,0,0,1,0.3
4,3,6,23,0,0,2,0.3
2,7,54,24,0,0,1,0.3
2,7,46,11,0,0,2,0.3
2,1,52,13,0,0,1,0.3
4,3,6,17,0,0,0,0.3
4,3,7,7,0,0,2,0.3
2,7,54,4,0,0,2,0.3
2,1,50,22,5,4,2,0.3
4,3,7,3,0,0,0,0.3
2,7,54,7,0,0,1,0.3
2,7,45,22,0,0,1,0.3
2,7,54,26,0,0,1,0.3
4,5,36,19,1,1,1,0.3
4,4,29,27,0,0,0,0.3
4,1,22,29,0,0,1,0.3
2,7,38,0,0,0,2,0.3
4,3,7,40,0,0,2,0.3
1,1,41,2,0,0,2,0.3
4,7,54,41,5,4,1,0.3
0,1,16,2,0,0,2,0.3
0,7,54,1,0,0,2,0.3
4,7,54,26,0,0,2,0.3
